number;type;tree;bush;diameter;height;description;action
3;Сосна;1;;56;;ствол наклонен;Вырубить
4;Сосна;1;;40;;;Вырубить
10;Сосна;1;;26;;;Сохранить
11;Сосна;2;;26;;;Сохранить
12;Сосна;1;;10;;;Сохранить
15;Сосна;2;;28;;;Вырубить
16;Сосна;1;;58;;;Вырубить
17;Сосна;1;;10;;ствол наклонен;Вырубить
32;Сосна;1;;22;;;Вырубить
33;Сосна;1;;56;;;Вырубить
34;Сосна;1;;12;;;Вырубить
35;Сосна;1;;36;;;Вырубить
36;Сосна;1;;8;;;Вырубить
37;Сосна;1;;68;;;Вырубить
38;Сосна;1;;20;;;Вырубить
39;Сосна;1;;58;;;Вырубить
40;Сосна;1;;18;;;Вырубить
41;Сосна;1;;8;;;Вырубить
42;Сосна;1;;8;;;Вырубить
43;Сосна;1;;8;;ствол искривлен;Вырубить
55;Сосна;1;;82;;сухие ветви;Сохранить
64;Сосна;1;;58;;ствол наклонен, сухие ветви;Сохранить
70;Сосна;1;;54;;;Сохранить
71;Сосна;1;;38;;;Сохранить
73;Липа;1;;34;;ствол наклонен;Сохранить
76;Сосна;1;;90;;;Сохранить
79;Ольха;1;;14;;ствол наклонен, спилы;Сохранить
82;Сосна;1;;60;;ствол наклонен;Сохранить
83;Сосна;1;;58;;ствол наклонен;Сохранить
85;Клен остролистный;1;;24;;;Сохранить
93;Клен остролистный;1;;32;;ствол искривлен;Сохранить
101;Липа;1;;46;;ствол наклонен, сухие ветви;Сохранить
102;Сосна;1;;60;;ствол наклонен, сухие ветви;Сохранить
105;Липа;1;;34;;;Сохранить
109;Липа;1;;44;;ствол наклонен;Сохранить
110;Липа;1;;22;;;Сохранить
111;Липа;1;;44;;спилы, сухие ветви;Сохранить
114;Липа;1;;46;;;Сохранить
148;Липа;1;;80;;водоохр.зона, сухие ветви;Сохранить
158;дерен куст;;5;;;водоохр.зона;Сохранить
159;Сосна;1;;64;;водоохр.зона, ствол наклонен, сухие ветви;Вырубить
160;Клен остролистный;1;;10,14;;водоохр.зона, 2 ствола;Вырубить
161;Клен остролистный;1;;6,6;;водоохр.зона, 2 ствола;Вырубить
162;Клен остролистный;1;;6,6;;водоохр.зона, 2 ствола;Вырубить
165;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
175;Клен остролистный;1;;26;;водоохр.зона;Вырубить
176;Ель;1;;8;;водоохр.зона;Вырубить
177;Сосна;1;;42;;водоохр.зона;Вырубить
178;Сосна;1;;24;;водоохр.зона;Вырубить
183;Сосна;1;;26;;водоохр.зона;Вырубить
184;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
185;Клен остролистный;1;;24;;водоохр.зона;Вырубить
186;Сосна;1;;86;;водоохр.зона;Вырубить
187;Клен остролистный;1;;8;;водоохр.зона, ствол наклонен;Вырубить
188;Клен остролистный;1;;10;;водоохр.зона, ствол наклонен;Вырубить
189;Клен остролистный;1;;18;;водоохр.зона, с развилкой;Вырубить
190;Клен остролистный;1;;20;;водоохр.зона;Сохранить
237;Сосна;1;;40;;водоохр.зона, сухие ветви;Вырубить
238;Сосна;1;;20;;водоохр.зона;Вырубить
239;Липа;1;;26;;водоохр.зона;Вырубить
240;Липа;1;;16;;водоохр.зона;Вырубить
241;Дуб;1;;16;;водоохр.зона;Сохранить
243;Ель;1;;48;;водоохр.зона, сухие ветви;Вырубить
306;Липа;1;;36,42;;2 ствола, морозобоина;Сохранить
308;Сосна;1;;58;;;Сохранить
309;Сосна;1;;56;;;Вырубить
311;Береза;1;;46;;сухобочина;Вырубить
312;Яблоня;1;;6,6,6;;трехствольное;Вырубить
313;Сосна;1;;66;;сухобочина;Вырубить
320;Клен ясенелистный;1;;28;;водоохр.зона, сухие ветви;Вырубить
322;Клен остролистный;1;;38;;водоохр.зона, сухие ветви;Вырубить
323;Клен ясенелистный;1;;28;;водоохр.зона, ствол наклонен, сухобочина;Вырубить
341;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
367;Ива ломкая;1;;44,44,50,82;;водоохр.зона, четырехствольное;Вырубить
368;Клен ясенелистный;1;;20,22,30,42;;водоохр.зона, четырехствольное, стволовая гниль;Вырубить
375;Ольха;1;;10;;водоохр.зона;Вырубить
376;Ольха;1;;10;;водоохр.зона;Вырубить
377;Ольха;1;;6,1;;водоохр.зона, 2 ствола;Вырубить
380;самосев лиственных пород;;;;;водоохр.зона, различ.;Вырубить
384;Сосна;1;;64;;водоохр.зона, сухобочина;Сохранить
398;Сосна;1;;54;;водоохр.зона, сухие ветви;Вырубить
399;Сосна;1;;48;;водоохр.зона, сухие ветви;Вырубить
400;Сосна;1;;52;;водоохр.зона;Вырубить
401;бересклет куст;;1;;;водоохр.зона;Вырубить
404;Дуб;1;;8;;водоохр.зона;Вырубить
415;Липа;1;;24;;водоохр.зона, сухобочина, стволовая гниль;Сохранить
426;Липа;1;;8;;водоохр.зона;Вырубить
434;Дуб;1;;44;;водоохр.зона;Вырубить
435;лещина куст;;1;;;водоохр.зона;Вырубить
488;Клен ясенелистный;1;;12;;водоохр.зона, ствол наклонен;Вырубить
489;Клен ясенелистный;1;;14;;водоохр.зона, ствол наклонен;Вырубить
490;Клен остролистный;1;;8;;водоохр.зона;Вырубить
491;Клен ясенелистный;1;;10,14,24;;водоохр.зона, 3 ствола;Вырубить
568;Клен остролистный;1;;8,26;;водоохр.зона, 2 ствола;Сохранить
602;Береза;1;;26;;водоохр.зона;Вырубить
603;Боярышник;1;;6,6;;водоохр.зона, 2 ствола;Вырубить
606;Липа;1;;6,6;;водоохр.зона, 2 ствола;Сохранить
615;Береза;1;;18;;водоохр.зона;Сохранить
616;Береза;1;;44;;водоохр.зона;Вырубить
617;Береза;1;;34;;водоохр.зона, усыхает;Вырубить
618;Береза;1;;30;;водоохр.зона, сухостой;Вырубить
619;Береза;1;;16;;водоохр.зона;Вырубить
621;Береза;1;;38;;водоохр.зона, морозобоина, стволовая гниль;Вырубить
622;Береза;1;;20;;водоохр.зона;Сохранить
624;Береза;1;;42;;водоохр.зона;Вырубить
627;Береза;1;;22;;водоохр.зона, ствол наклонен;Вырубить
658;Береза;1;;16;;водоохр.зона;Вырубить
659;Сосна;1;;68;;водоохр.зона;Вырубить
660;Сосна;1;;52;;водоохр.зона;Вырубить
661;Сосна;1;;48;;водоохр.зона, сухобочина;Вырубить
664;боярышник куст;;1;;;водоохр.зона;Вырубить
665;Береза;1;;28;;водоохр.зона;Вырубить
693;Ель;1;;58;;водоохр.зона, сухие ветви;Вырубить
724;Береза;1;;18;;водоохр.зона;Вырубить
821;Сосна;1;;66;;;Вырубить
825;Ель;1;;6;;;Вырубить
828;вишня куст;;1;;;;Вырубить
829;самосев лиственных пород;;;1;;;Вырубить
830;вишня куст;;1;;;;Вырубить
831;Береза;1;;46;;спилы;Вырубить
832;Дуб;1;;32;;сухие ветви, спилы;Вырубить
833;Береза;1;;36;;ствол наклонен;Вырубить
834;Сосна;1;;10;;;Вырубить
835;Сосна;1;;54;;;Вырубить
836;Сосна;1;;14;;;Вырубить
838;Дуб;1;;46;;ствол наклонен, спилы, сухие ветви;Вырубить
839;Береза;1;;56;;;Вырубить
841;Береза;1;;42;;;Вырубить
842;Береза;1;;46;;;Вырубить
849;Лиственница;1;;14;;;Вырубить
850;Лиственница;1;;26;;;Сохранить
857;Сосна;1;;16;;;Сохранить
862;Каштан;1;;28;;спилы, сухие ветви;Вырубить
863;Каштан;1;;12;;спилы, сухие ветви;Вырубить
864;Каштан;1;;18;;спилы;Вырубить
866;Каштан;1;;12;;;Вырубить
870;Береза;1;;56;;сухие ветви;Вырубить
871;Береза;1;;38;;;Вырубить
872;Береза;1;;44;;ствол искривлен;Вырубить
876;Липа;1;;6,6,10;;трехствольное;Вырубить
881;Береза;1;;34,36,42;;3 ствола, сухие ветви;Вырубить
884;Каштан;1;;18;;спилы;Сохранить
886;Береза;1;;22,26,40;;3 ствола;Вырубить
887;Каштан;1;;14;;спилы;Вырубить
898;Береза;1;;34,36,46;;3 ствола;Вырубить
901;Пихта;1;;24;;сухие ветви, спилы;Вырубить
913;Сосна;1;;68;;;Сохранить
914;Сосна;1;;66;;сухобочина;Сохранить
915;Орех;1;;28,28,36;;3 ствола, спилы, сухобочина;Сохранить
916;Сосна;1;;68;;;Сохранить
917;Сосна;1;;56;;;Вырубить
926;Дуб;1;;6;;;Сохранить
1079;Клен остролистный;1;;28,32;;2 ствола;Сохранить
1081;Береза;1;;22;;стволовая гниль;Сохранить
1083;Клен остролистный;1;;8;;;Сохранить
1085;самосев лиственных пород;;;;;;Вырубить
1101;Ель;1;;34;;;Сохранить
1102;Липа;1;;18;;;Сохранить
1103;самосев лиственных пород;;;;;;Вырубить
1104;Сосна;1;;58;;;Сохранить
1105;Липа;1;;36;;;Сохранить
1106;Сосна;1;;66;;;Сохранить
1107;Дуб;1;;46;;ствол наклонен, стволовая гниль;Сохранить
1108;Береза;1;;44;;;Сохранить
1109;Сосна;1;;54;;;Сохранить
1121;Ива ломкая;1;;8,8,12;;3 ствола;Вырубить
1123;Сосна;1;;72;;;Вырубить
1127;Сосна;1;;54;;сухие ветви;Вырубить
1130;Ель;1;;34;;;Вырубить
1131;Ель;1;;46;;сухобочина;Сохранить
1132;Береза;1;;48;;ствол наклонен;Сохранить
1133;ирга куст;;10;;;;Сохранить
1137;Ель;1;;28;;;Вырубить
1138;Ель;1;;46;;;Вырубить
1140;самосев лиственных пород;;;;;;Вырубить
1141;лещина куст;;1;;;;Вырубить
1142;Ель;1;;46;;;Вырубить
1143;лещина куст;;1;;;;Вырубить
1144;самосев лиственных пород;;;1;;;Вырубить
1145;лещина куст;;1;;;;Вырубить
1151;самосев лиственных пород;;;01.февр;;;Вырубить
1172;бузина куст;;1;;;водоохр.зона;Сохранить
1173;бересклет куст;;1;;;водоохр.зона;Сохранить
1175;лещина куст;;1;;;водоохр.зона;Сохранить
1177;Рябина;1;;6;;водоохр.зона;Сохранить
1178;лещина куст;;1;;;водоохр.зона;Сохранить
1179;Клен ясенелистный;1;;10,12,16;;водоохр.зона, трехствольное;Сохранить
1180;жимолость куст;;1;;;водоохр.зона;Сохранить
1181;самосев лиственных пород;;;;;водоохр.зона, различ.;Сохранить
1182;бузина куст;;1;;;водоохр.зона;Сохранить
1183;Черемуха;1;;10;;водоохр.зона;Сохранить
1184;лещина куст;;1;;;водоохр.зона;Сохранить
1185;жимолость куст;;1;;;водоохр.зона;Сохранить
1186;лещина куст;;10;;;водоохр.зона;Сохранить
1187;Сосна;1;;50;;;Вырубить
1188;Береза;1;;54;;ствол искривлен;Вырубить
1189;Ель;1;;30;;ствол искривлен;Вырубить
1190;Сосна;1;;64;;сухие ветви;Сохранить
1191;Сосна;1;;28;;;Вырубить
1192;Ель;1;;46;;;Сохранить
1193;Ель;1;;54;;;Сохранить
1194;Сосна;1;;12;;;Вырубить
1195;Ель;1;;46;;;Сохранить
1196;Береза;1;;36,58;;2 ствола;Вырубить
1197;Сосна;1;;54;;;Вырубить
1198;Липа;1;;38;;;Вырубить
1199;Береза;1;;40;;;Сохранить
1203;Береза;1;;18,42;;2 ствола;Сохранить
1204;Сосна;1;;50;;;Сохранить
1205;Ель;1;;6;;;Сохранить
1206;Береза;1;;36;;ствол искривлен, сухобоч., ствол.гниль;Сохранить
1207;Сосна;1;;70;;сухобочина;Сохранить
1208;Сосна;1;;56;;ствол наклонен;Сохранить
1209;Лиственница;1;;14;;;Сохранить
1211;Лиственница;1;;18;;;Сохранить
1216;Яблоня;1;;20;;ствол наклонен, спилы;Вырубить
1217;Клен остролистный;1;;46;;морозобоина;Вырубить
1220;калина куст;;10;;;;Сохранить
1223;Ель;1;;6;;;Сохранить
1225;сирень куст;;1;;;;Сохранить
1226;Ель;1;;6;;;Сохранить
1231;пузыреплодник куст;;20;;;;Сохранить
1244;Рябина;1;;16;;спилы, сухобочина;Вырубить
1247;Сосна;1;;84;;;Сохранить
1248;Дуб;1;;36;;;Сохранить
1250;самосев лиственных пород;;;1;;рябина;Вырубить
1251;Ель;1;;6;;;Вырубить
1252;Ель;1;;6;;;Вырубить
1253;Ель;1;;6;;;Вырубить
1254;Ель;1;;6;;;Вырубить
1257;чубушник куст;;5;;;;Сохранить
1279;Ель;1;;56;;;Вырубить
1281;Сосна;1;;22;;;Вырубить
1282;Береза;1;;12;;;Вырубить
1283;самосев лиственных пород;;;1;;;Вырубить
1284;Ель;1;;6,6;;2 ствола;Вырубить
1286;Ель;1;;58;;;Вырубить
1287;Береза;1;;56;;ствол наклонен;Вырубить
1296;Каштан;1;;24;;развилка ствола;Вырубить
1297;Каштан;1;;36;;развилка ствола, спилы;Вырубить
1298;Каштан;1;;24;;развилка ствола, спилы;Вырубить
1299;Ель;1;;8;;;Вырубить
1300;Каштан;1;;18;;;Вырубить
1301;Ель;1;;8;;;Вырубить
1302;Ель;1;;10;;;Вырубить
1303;Каштан;1;;10;;;Вырубить
1340;Сосна;1;;44;;ствол наклонен;Сохранить
1341;Каштан;1;;6;;;Сохранить
1342;Клен остролистный;1;;12;;;Сохранить
1345;Клен остролистный;1;;12;;;Сохранить
1346;Клен остролистный;1;;16;;ствол наклонен;Сохранить
1347;Клен остролистный;1;;12;;ствол наклонен;Сохранить
1349;Ель;1;;46;;;Сохранить
1350;Ель;1;;20;;;Сохранить
1351;Сосна;1;;74;;;Сохранить
1352;Липа;1;;30,3;;2 ствола;Сохранить
1355;Ель;1;;16;;;Сохранить
1356;Липа;1;;38;;;Сохранить
1357;Сосна;1;;56;;;Сохранить
1358;Ель;1;;20;;;Сохранить
1359;Липа;1;;20;;;Сохранить
1360;Ель;1;;48;;;Вырубить
1361;Ель;1;;16;;;Вырубить
1363;Ель;1;;42;;;Вырубить
1364;Ель;1;;28;;;Сохранить
1365;Сосна;1;;76;;ствол наклонен;Сохранить
1366;Ель;1;;38;;;Сохранить
1367;Ель;1;;58;;;Сохранить
1368;Сосна;1;;60;;;Вырубить
1369;Ель;1;;12;;;Вырубить
1370;Липа;1;;20;;;Вырубить
1371;Сосна;1;;56;;;Вырубить
1372;Ель;1;;12;;;Вырубить
1373;Ель;1;;64;;сухобочина;Вырубить
1374;лещина куст;;1;;;;Сохранить
1375;Ель;2;;50-52;;;Сохранить
1376;Ель;1;;70;;;Вырубить
1385;Липа;1;;38;;сухие ветви;Сохранить
1408;Ель;1;;28;;водоохр.зона;Вырубить
1410;Липа;1;;16;;водоохр.зона;Вырубить
1413;самосев лиственных пород;;;1;;водоохр.зона;Вырубить
1459;Липа;1;;30;;;Сохранить
1460;Липа;1;;24;;морозобоина;Сохранить
1461;Сосна;1;;46;;;Сохранить
1504;лещина куст;;1;;;;Вырубить
1505;самосев лиственных пород;;40;1;;различ.;Вырубить
1507;самосев лиственных пород;;;1;;;Сохранить
1508;Ель;1;;6;;;Сохранить
1509;Береза;1;;42;;ствол наклонен;Сохранить
1516;Ель;1;;50;;;Сохранить
1517;Сосна;1;;68;;;Сохранить
1520;Ель;1;;6;;;Сохранить
1533;Сосна;1;;74;;сухие ветви;Сохранить
1534;Сосна;1;;36;;;Сохранить
1535;Сосна;1;;48;;ствол искривлен, сухие ветви;Сохранить
1540;лещина куст;;1;;;;Сохранить
1544;Ель;1;;12;;;Сохранить
1545;Ель;1;;12;;вершина сломана;Вырубить
1546;Ель;1;;14;;;Сохранить
1550;Сосна;1;;48;;;Вырубить
1551;Ель;1;;34;;;Вырубить
1558;Ель;1;;14;;;Сохранить
1559;Ель;1;;12;;;Сохранить
1560;Ель;1;;8;;;Сохранить
1561;Ель;1;;10;;;Сохранить
1569;Ель;1;;28;;;Сохранить
1577;Рябина;1;;12;;водоохр.зона, с развилкой;Вырубить
